,N,seed,method,time,query_time,size,lowerbound,upperbound
0,5,1234,CVE,,,,,
1,5,1234,CCVE,,,,,
2,5,1234,CCALPeps,,,,,
3,7,1234,CVE,,,,,
4,7,1234,CCVE,,,,,
5,7,1234,CCALPeps,,,,,
6,9,1234,CVE,,,,,
7,9,1234,CCVE,inf,inf,,,
8,9,1234,CCALPeps,inf,inf,,,
9,11,1234,CVE,inf,inf,,,
10,11,1234,CCVE,inf,inf,,,
11,11,1234,CCALPeps,inf,inf,,,
12,13,1234,CVE,inf,inf,,,
13,13,1234,CCVE,inf,inf,,,
14,13,1234,CCALPeps,inf,inf,,,
15,15,1234,CVE,inf,inf,,,
16,15,1234,CCVE,inf,inf,,,
17,15,1234,CCALPeps,inf,inf,,,
18,17,1234,CVE,inf,inf,,,
19,17,1234,CCVE,,,,,
20,17,1234,CCALPeps,,,,,
21,19,1234,CVE,,,,,
22,19,1234,CCVE,,,,,
23,19,1234,CCALPeps,,,,,
24,21,1234,CVE,,,,,
25,21,1234,CCVE,,,,,
26,21,1234,CCALPeps,,,,,
27,23,1234,CVE,,,,,
28,23,1234,CCVE,,,,,
29,23,1234,CCALPeps,,,,,
30,25,1234,CVE,,,,,
31,25,1234,CCVE,,,,,
32,25,1234,CCALPeps,,,,,
33,27,1234,CVE,,,,,
34,27,1234,CCVE,,,,,
35,27,1234,CCALPeps,,,,,
36,29,1234,CVE,,,,,
37,29,1234,CCVE,,,,,
38,29,1234,CCALPeps,,,,,
