,N,dovar,target,obsvar,seed,method,time,query_time,size,lowerbound,upperbound
0,5,0,-1,,1234,CVE,2.1087,2.0883,0.0,0.6225433600000001,0.6225433600000001
1,5,0,-1,,1234,CCVE,140.77439999999999,25.6193,0.0,0.62254336,0.62254336
2,5,0,-1,,1234,CCALP,265.8414,263.3725,0.0,0.62254336,0.62254336
3,5,0,-1,,1234,CCALPeps,660.6725,658.4272,5.000009998767929e-06,0.6225417257571062,0.622546725767105
4,6,0,-1,,1234,CVE,3.2533000000000003,3.2311,0.0,0.5166184960000002,0.5166184960000002
5,6,0,-1,,1234,CCVE,255.1687,120.25489999999999,0.0,0.516618496,0.516618496
6,6,0,-1,,1234,CCALP,339.7282,336.8132,0.0,0.516618496,0.516618496
7,6,0,-1,,1234,CCALPeps,957.1175999999999,954.2108000000001,6.000014998963632e-06,0.5166155245099935,0.5166215245249924
8,7,0,-1,,1234,CVE,7.0899,7.0718000000000005,0.0,0.3458020224000002,0.3458020224000002
9,7,0,-1,,1234,CCVE,599.8346,465.4102,0.0,0.3458020224,0.3458020224
10,7,0,-1,,1234,CCALP,370.018,367.3032,0.0,0.3458020224,0.3458020224
11,7,0,-1,,1234,CCALPeps,1223.0111000000002,1220.2909,7.0000209986154084e-06,0.3457977051223454,0.34580470514334405
12,8,0,-1,,1234,CVE,26.6307,26.6079,0.0,0.8488778179840002,0.8488778179840002
13,8,0,-1,,1234,CCVE,3609.221,3445.2729999999997,0.0,0.8488778179840001,0.8488778179840001
14,8,0,-1,,1234,CCALP,441.69660000000005,438.698,1.1102230246251565e-16,0.8488778179840001,0.8488778179840001
15,8,0,-1,,1234,CCALPeps,1639.9302,1637.0575000000001,8.000027998700255e-06,0.8488758876508428,0.8488838876788414
16,9,0,-1,,1234,CVE,145.6996,145.6697,0.0,0.6628337351440002,0.6628337351440002
17,9,0,-1,,1234,CCVE,16434.413200000003,16242.2501,0.0,0.662833735144,0.662833735144
18,9,0,-1,,1234,CCALP,555.9139,552.8749,1.1102230246251565e-16,0.6628337351439999,0.662833735144
19,9,0,-1,,1234,CCALPeps,1838.1733,1835.1123,9.00003599871857e-06,0.6628300113306247,0.6628390113666234
20,10,0,-1,,1234,CVE,742.5292999999999,742.5032,0.0,0.8134002142940581,0.8134002142940581
21,10,0,-1,,1234,CCVE,83446.8383,83249.4092,0.0,0.8134002142940575,0.8134002142940575
22,10,0,-1,,1234,CCALP,606.8797999999999,603.4671999999999,1.1102230246251566e-17,0.8134002142940575,0.8134002142940575
23,10,0,-1,,1234,CCALPeps,2206.4710999999998,2203.1049,1.0000044998836887e-05,0.8133977109708516,0.8134077110158504
24,11,0,-1,,1234,CVE,5150.761,5150.7208,0.0,0.13915850582392608,0.13915850582392608
25,11,0,-1,,1234,CCVE,inf,inf,,,
26,11,0,-1,,1234,CCALP,705.7803,702.4238,2.7755575615628914e-17,0.13915850582392594,0.13915850582392597
27,11,0,-1,,1234,CCALPeps,2344.8435,2341.4777000000004,1.1000054998561159e-05,0.13914986325991802,0.1391608633149166
28,12,0,-1,,1234,CVE,28297.6984,28297.6581,0.0,0.8725952577241902,0.8725952577241902
29,12,0,-1,,1234,CCVE,inf,inf,,,
30,12,0,-1,,1234,CCALP,813.3720000000001,809.9211,2.220446049250313e-16,0.8725952577241894,0.8725952577241898
31,12,0,-1,,1234,CCALPeps,2582.8099,2579.2672,1.2000065998707398e-05,0.8725923132050208,0.8726043132710195
32,13,0,-1,,1234,CVE,,,,,
33,13,0,-1,,1234,CCVE,inf,inf,,,
34,13,0,-1,,1234,CCALP,913.1668,908.8488,1.1102230246251565e-16,0.8337999999999999,0.8338000000000001
35,13,0,-1,,1234,CCALPeps,3328.7958,3324.1241999999997,1.3000077998237547e-05,0.8337966641739495,0.8338096642519476
36,14,0,-1,,1234,CVE,,,,,
37,14,0,-1,,1234,CCVE,inf,inf,,,
38,14,0,-1,,1234,CCALP,948.8120000000001,944.5511,0.0,0.9783380000000002,0.9783380000000002
39,14,0,-1,,1234,CCALPeps,3388.7752,3383.7771000000002,1.4000090998322889e-05,0.9783367282894728,0.9783507283804711
