,N,exovarsize,dovar,seed,method,time,query_time,size
0,5,6,0,1234,CVE,inf,inf,
1,5,6,0,1234,CCVE,inf,inf,
2,5,6,0,1234,CCALP,inf,inf,
3,5,6,0,1234,CCALPeps,inf,inf,
4,7,6,0,1234,CVE,inf,inf,
5,7,6,0,1234,CCVE,inf,inf,
6,7,6,0,1234,CCALP,inf,inf,
7,7,6,0,1234,CCALPeps,inf,inf,
8,9,6,0,1234,CVE,inf,inf,
9,9,6,0,1234,CCVE,inf,inf,
10,9,6,0,1234,CCALP,inf,inf,
11,9,6,0,1234,CCALPeps,inf,inf,
12,11,6,0,1234,CVE,inf,inf,
13,11,6,0,1234,CCVE,inf,inf,
14,11,6,0,1234,CCALP,inf,inf,
15,11,6,0,1234,CCALPeps,inf,inf,
16,13,6,0,1234,CVE,inf,inf,
17,13,6,0,1234,CCVE,inf,inf,
18,13,6,0,1234,CCALP,inf,inf,
19,13,6,0,1234,CCALPeps,inf,inf,
20,15,6,0,1234,CVE,inf,inf,
21,15,6,0,1234,CCVE,inf,inf,
22,15,6,0,1234,CCALP,inf,inf,
23,15,6,0,1234,CCALPeps,inf,inf,
24,17,6,0,1234,CVE,inf,inf,
25,17,6,0,1234,CCVE,inf,inf,
26,17,6,0,1234,CCALP,inf,inf,
27,17,6,0,1234,CCALPeps,inf,inf,
28,19,6,0,1234,CVE,inf,inf,
29,19,6,0,1234,CCVE,inf,inf,
30,19,6,0,1234,CCALP,inf,inf,
31,19,6,0,1234,CCALPeps,inf,inf,
32,21,6,0,1234,CVE,inf,inf,
33,21,6,0,1234,CCVE,inf,inf,
34,21,6,0,1234,CCALP,inf,inf,
35,21,6,0,1234,CCALPeps,inf,inf,
36,23,6,0,1234,CVE,inf,inf,
37,23,6,0,1234,CCVE,inf,inf,
38,23,6,0,1234,CCALP,inf,inf,
39,23,6,0,1234,CCALPeps,inf,inf,
40,25,6,0,1234,CVE,inf,inf,
41,25,6,0,1234,CCVE,inf,inf,
42,25,6,0,1234,CCALP,inf,inf,
43,25,6,0,1234,CCALPeps,inf,inf,
44,27,6,0,1234,CVE,inf,inf,
45,27,6,0,1234,CCVE,inf,inf,
46,27,6,0,1234,CCALP,inf,inf,
47,27,6,0,1234,CCALPeps,inf,inf,
48,29,6,0,1234,CVE,inf,inf,
49,29,6,0,1234,CCVE,inf,inf,
50,29,6,0,1234,CCALP,inf,inf,
51,29,6,0,1234,CCALPeps,inf,inf,
