,N,dovar,endovarsize,seed,method,time,query_time,lowerbound0,lowerbound1,lowerbound2,upperbound0,upperbound1,upperbound2
0,3,0,3,1234,CVE,2.5344,2.0814,0.15680000000000002,0.00012307692307692307,0.04307692307692308,0.15680000000000002,0.00012307692307692307,0.04307692307692308
1,3,0,3,1234,CCVE,104.91240000000002,4.704000000000001,0.1568,0.00012307692307692307,0.043076923076923075,0.1568,0.00012307692307692307,0.043076923076923075
2,3,0,3,1234,CCALPeps,3193.5264,3190.4700000000003,0.15677064061234808,0.00012524708594302444,0.04310411230170881,0.1567706406123482,0.0001252470859430246,0.043104112301708894
3,5,0,3,1234,CVE,inf,inf,,,,,,
4,5,0,3,1234,CCVE,231.23120000000003,73.6224,0.05097135468262824,0.14269643471641452,0.0063322106009572774,0.05097135468262824,0.14269643471641452,0.0063322106009572774
5,5,0,3,1234,CCALPeps,inf,inf,,,,,,
6,7,0,3,1234,CVE,,,,,,,,
7,7,0,3,1234,CCVE,inf,inf,,,,,,
8,7,0,3,1234,CCALPeps,,,,,,,,
9,9,0,3,1234,CVE,,,,,,,,
10,9,0,3,1234,CCVE,,,,,,,,
11,9,0,3,1234,CCALPeps,,,,,,,,
12,11,0,3,1234,CVE,,,,,,,,
13,11,0,3,1234,CCVE,,,,,,,,
14,11,0,3,1234,CCALPeps,,,,,,,,
15,13,0,3,1234,CVE,,,,,,,,
16,13,0,3,1234,CCVE,,,,,,,,
17,13,0,3,1234,CCALPeps,,,,,,,,
